final_loss,stem_length,stem_width,branch_length,branch_width,learning_rate
9.355569,2,3,3,5,0.001
9.567001,2,3,4,1,0.001
8.986819,2,3,4,2,0.001
5.977409,2,3,4,3,0.001
8.5235195,2,3,4,4,0.001
9.319172,2,3,4,5,0.001
10.1463175,2,3,5,1,0.001
9.459222,2,3,5,2,0.001
9.254637,2,3,5,3,0.001
9.339927,2,3,5,4,0.001
9.0698,2,3,5,5,0.001
9.459105,2,4,1,1,0.001
9.258846,2,4,1,2,0.001
7.209238,2,4,1,3,0.001
9.243043,2,4,1,4,0.001
8.0673895,2,4,1,5,0.001
9.806654,2,4,2,1,0.001
9.360889,2,4,2,2,0.001
9.767696,2,4,2,3,0.001
9.872678,2,4,2,4,0.001
9.215712,2,4,2,5,0.001
10.448633,2,4,3,1,0.001
10.320373,2,4,3,2,0.001
7.3287506,2,4,3,3,0.001
9.61651,2,4,3,4,0.001
8.580124,2,4,3,5,0.001
9.858247,2,4,4,1,0.001
9.977807,2,4,4,2,0.001
11.111602,2,4,4,3,0.001
8.454297,2,4,4,4,0.001
7.4030414,2,4,4,5,0.001
10.337167,2,4,5,1,0.001
9.273348,2,4,5,2,0.001
8.335166,2,4,5,3,0.001
8.692474,2,4,5,4,0.001
8.8709,2,4,5,5,0.001
8.268031,2,5,1,1,0.001
8.361978,2,5,1,2,0.001
5.3532195,2,5,1,3,0.001
9.821111,2,5,1,4,0.001
10.175364,2,5,1,5,0.001
7.351166,2,5,2,1,0.001
9.18649,2,5,2,2,0.001
9.11848,2,5,2,3,0.001
12.970894,2,5,2,4,0.001
9.736181,2,5,2,5,0.001
10.007665,2,5,3,1,0.001
7.871148,2,5,3,2,0.001
9.169668,2,5,3,3,0.001
7.909547,2,5,3,4,0.001
6.4952407,2,5,3,5,0.001
9.107102,2,5,4,1,0.001
9.382956,2,5,4,2,0.001
8.472379,2,5,4,3,0.001
4.768957,2,5,4,4,0.001
9.233332,2,5,4,5,0.001
8.270124,2,5,5,1,0.001
8.646186,2,5,5,2,0.001
12.094763,2,5,5,3,0.001
6.3326616,2,5,5,4,0.001
7.709798,2,5,5,5,0.001
9.481965,3,1,1,1,0.001
9.236372,3,1,1,2,0.001
9.876728,3,1,1,3,0.001
9.257011,3,1,1,4,0.001
9.8811865,3,1,1,5,0.001
10.790517,3,1,2,1,0.001
10.310045,3,1,2,2,0.001
9.40875,3,1,2,3,0.001
9.327717,3,1,2,4,0.001
9.496308,3,1,2,5,0.001
9.875355,3,1,3,1,0.001
9.514523,3,1,3,2,0.001
9.7344675,3,1,3,3,0.001
9.490253,3,1,3,4,0.001
8.862322,3,1,3,5,0.001
10.826394,3,1,4,1,0.001
10.161297,3,1,4,2,0.001
9.520539,3,1,4,3,0.001
9.133715,3,1,4,4,0.001
8.252592,3,1,4,5,0.001
10.13858,3,1,5,1,0.001
10.355792,3,1,5,2,0.001
9.432445,3,1,5,3,0.001
9.33403,3,1,5,4,0.001
15.893689,3,1,5,5,0.001
9.908799,3,2,1,1,0.001
10.449398,3,2,1,2,0.001
